country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","31-03-2025 00:00:00",30.751462,76.762879,PM2.5,30,113,65
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","31-03-2025 00:00:00",30.751462,76.762879,PM10,44,110,78
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","31-03-2025 00:00:00",30.751462,76.762879,NO2,19,50,27
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","31-03-2025 00:00:00",30.751462,76.762879,NH3,16,23,18
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","31-03-2025 00:00:00",30.751462,76.762879,SO2,1,9,6
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","31-03-2025 00:00:00",30.751462,76.762879,OZONE,6,93,51
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","31-03-2025 00:00:00",25.03280,85.41948,SO2,2,19,7
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","31-03-2025 00:00:00",25.892357,86.590325,NH3,4,4,4
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","31-03-2025 00:00:00",25.859655,85.77944,PM10,54,221,113
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","31-03-2025 00:00:00",24.952822,84.002396,PM10,56,130,89
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","31-03-2025 00:00:00",26.2271665,84.3570427,PM2.5,35,308,124
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","31-03-2025 00:00:00",26.2271665,84.3570427,NO2,3,10,5
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","31-03-2025 00:00:00",28.498571,77.264840,NH3,5,7,6
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","31-03-2025 00:00:00",28.498571,77.264840,SO2,20,40,27
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","31-03-2025 00:00:00",28.5710274,77.0719006,NO2,34,52,44
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","31-03-2025 00:00:00",28.5627763,77.1180053,PM2.5,20,244,87
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","31-03-2025 00:00:00",28.6811736,77.3025234,PM10,72,116,97
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","31-03-2025 00:00:00",28.6811736,77.3025234,CO,2,104,16
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","31-03-2025 00:00:00",21.237755,81.705301,SO2,11,47,19
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","31-03-2025 00:00:00",21.371751,81.664929,NH3,3,3,3
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","31-03-2025 00:00:00",21.371751,81.664929,CO,10,38,20
India,Delhi,Delhi,"Alipur, Delhi - DPCC","31-03-2025 00:00:00",28.815329,77.153010,CO,26,56,42
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","31-03-2025 00:00:00",28.647622,77.3158090,SO2,10,39,26
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","31-03-2025 00:00:00",22.368195,82.746431,PM2.5,NA,NA,NA
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","31-03-2025 00:00:00",22.348441,82.549611,NH3,1,5,2
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","31-03-2025 00:00:00",22.348441,82.549611,SO2,5,9,7
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","31-03-2025 00:00:00",22.348441,82.549611,CO,24,60,35
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","31-03-2025 00:00:00",22.126650,83.483212,NH3,2,2,2
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","31-03-2025 00:00:00",22.126650,83.483212,SO2,3,7,5
India,Delhi,Delhi,"Bawana, Delhi - DPCC","31-03-2025 00:00:00",28.776200,77.051074,PM2.5,22,329,160
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","31-03-2025 00:00:00",28.656756,77.227234,PM2.5,67,129,87
India,Delhi,Delhi,"DTU, Delhi - CPCB","31-03-2025 00:00:00",28.7500499,77.1112615,PM10,67,177,127
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","31-03-2025 00:00:00",21.258815,81.578979,PM10,83,163,125
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","31-03-2025 00:00:00",21.258815,81.578979,CO,28,80,53
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","31-03-2025 00:00:00",21.219665,81.630094,NH3,2,3,2
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","31-03-2025 00:00:00",21.219665,81.630094,SO2,7,67,31
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","31-03-2025 00:00:00",28.611281,77.237738,NO2,17,140,50
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","31-03-2025 00:00:00",28.611281,77.237738,OZONE,2,158,72
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","31-03-2025 00:00:00",28.636429,77.201067,PM10,40,107,78
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","31-03-2025 00:00:00",28.636429,77.201067,CO,10,36,19
India,Delhi,Delhi,"Mundka, Delhi - DPCC","31-03-2025 00:00:00",28.684678,77.076574,PM2.5,20,348,148
India,Delhi,Delhi,"Mundka, Delhi - DPCC","31-03-2025 00:00:00",28.684678,77.076574,NO2,28,77,44
India,Delhi,Delhi,"Mundka, Delhi - DPCC","31-03-2025 00:00:00",28.684678,77.076574,NH3,6,8,6
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","31-03-2025 00:00:00",28.60909,77.0325413,PM10,85,154,121
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","31-03-2025 00:00:00",28.60909,77.0325413,NO2,45,49,47
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","31-03-2025 00:00:00",28.60909,77.0325413,OZONE,18,49,31
India,Delhi,Delhi,"ITO, Delhi - CPCB","31-03-2025 00:00:00",28.628624,77.241060,NH3,2,7,5
India,Delhi,Delhi,"ITO, Delhi - CPCB","31-03-2025 00:00:00",28.628624,77.241060,OZONE,11,71,38
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","31-03-2025 00:00:00",28.732820,77.170633,PM2.5,35,313,166
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","31-03-2025 00:00:00",28.732820,77.170633,PM10,109,398,217
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","31-03-2025 00:00:00",28.580280,77.233829,NO2,44,109,60
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","31-03-2025 00:00:00",28.580280,77.233829,SO2,13,25,18
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","31-03-2025 00:00:00",28.588333,77.221667,SO2,13,45,26
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","31-03-2025 00:00:00",28.5918245,77.2273074,PM10,76,122,100
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","31-03-2025 00:00:00",28.5918245,77.2273074,CO,10,38,25
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","31-03-2025 00:00:00",28.699793,77.165453,PM2.5,28,230,118
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","31-03-2025 00:00:00",28.699793,77.165453,NO2,36,164,74
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","31-03-2025 00:00:00",23.107969,72.574648,PM10,68,169,106
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","31-03-2025 00:00:00",23.107969,72.574648,CO,20,47,35
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","31-03-2025 00:00:00",28.570173,76.933762,NO2,58,105,79
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","31-03-2025 00:00:00",28.570173,76.933762,NH3,6,12,8
India,Delhi,Delhi,"Narela, Delhi - DPCC","31-03-2025 00:00:00",28.822836,77.101981,NO2,10,42,21
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","31-03-2025 00:00:00",28.567890,77.250515,NH3,5,7,6
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","31-03-2025 00:00:00",28.563262,77.186937,PM10,80,201,117
India,Delhi,Delhi,"Rohini, Delhi - DPCC","31-03-2025 00:00:00",28.732528,77.119920,SO2,9,56,25
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","31-03-2025 00:00:00",28.6514781,77.1473105,CO,22,60,45
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","31-03-2025 00:00:00",28.674045,77.131023,OZONE,2,58,31
India,Delhi,Delhi,"Pusa, Delhi - DPCC","31-03-2025 00:00:00",28.639652,77.146275,NO2,47,145,78
India,Delhi,Delhi,"Pusa, Delhi - DPCC","31-03-2025 00:00:00",28.639652,77.146275,SO2,19,36,26
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","31-03-2025 00:00:00",28.710508,77.249485,SO2,11,34,20
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","31-03-2025 00:00:00",28.531346,77.190156,NO2,12,76,35
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","31-03-2025 00:00:00",28.6514781,77.1473105,OZONE,19,67,36
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","31-03-2025 00:00:00",28.5504249,77.2159377,PM2.5,38,159,82
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","31-03-2025 00:00:00",28.530785,77.271255,PM2.5,27,97,63
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","31-03-2025 00:00:00",28.530785,77.271255,NO2,31,113,57
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","31-03-2025 00:00:00",28.4227,77.0667,SO2,NA,NA,NA
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB","31-03-2025 00:00:00",28.4275,77.1465,PM2.5,74,128,102
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB","31-03-2025 00:00:00",28.4275,77.1465,PM10,64,98,84
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","31-03-2025 00:00:00",28.3153,76.9143,SO2,16,36,22
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","31-03-2025 00:00:00",30.943887,76.801991,CO,42,72,53
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB","31-03-2025 00:00:00",34.066206,74.819820,PM2.5,NA,NA,NA
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB","31-03-2025 00:00:00",34.066206,74.819820,PM10,NA,NA,NA
